instrument_token,tradingsymbol,time,open,high,low,close,volume
256265,NIFTY 50,2015-04-13 10:04:00 UTC,8774.6,8778.45,8774.15,8776.5,0
256265,NIFTY 50,2015-04-13 10:05:00 UTC,8776.7,8776.7,8774.25,8775.3,0
256265,NIFTY 50,2015-04-13 10:06:00 UTC,8775.35,8777.35,8775.2,8777,0
256265,NIFTY 50,2015-04-13 10:07:00 UTC,8777.05,8777.35,8775.6,8777.35,0
256265,NIFTY 50,2015-04-13 10:08:00 UTC,8777.4,8777.8,8773.65,8774.5,0
256265,NIFTY 50,2015-04-13 10:09:00 UTC,8774.7,8776.6,8774.65,8775.75,0
256265,NIFTY 50,2015-04-13 10:10:00 UTC,8775.5,8775.7,8772.65,8773.3,0
256265,NIFTY 50,2015-04-13 10:11:00 UTC,8772.7,8772.7,8765.25,8765.7,0
256265,NIFTY 50,2015-04-13 10:12:00 UTC,8764.65,8766.85,8762.5,8765.5,0
256265,NIFTY 50,2015-04-13 10:13:00 UTC,8765.7,8766.35,8763.4,8764.15,0
256265,NIFTY 50,2015-04-13 10:14:00 UTC,8764.3,8768.05,8763.9,8768.05,0
256265,NIFTY 50,2015-04-13 10:15:00 UTC,8768.05,8768.6,8766.95,8768.6,0
256265,NIFTY 50,2015-04-13 10:16:00 UTC,8768.9,8769.7,8767.95,8769.6,0
256265,NIFTY 50,2015-04-13 10:17:00 UTC,8769.75,8771.1,8769.15,8769.85,0
256265,NIFTY 50,2015-04-13 10:18:00 UTC,8769.5,8770.3,8768.85,8769.9,0
256265,NIFTY 50,2015-04-13 10:19:00 UTC,8769.75,8771.8,8769.75,8770.85,0
256265,NIFTY 50,2015-04-13 10:20:00 UTC,8770.85,8771.4,8767.75,8768.65,0
256265,NIFTY 50,2015-04-13 10:21:00 UTC,8769.05,8771.45,8768.3,8770.7,0
256265,NIFTY 50,2015-04-13 10:22:00 UTC,8770.6,8771.25,8769.1,8769.85,0
256265,NIFTY 50,2015-04-13 10:23:00 UTC,8770.25,8772.6,8770.25,8770.55,0
256265,NIFTY 50,2015-04-13 10:24:00 UTC,8770.65,8773.65,8770.25,8772.8,0
256265,NIFTY 50,2015-04-13 10:25:00 UTC,8772.75,8774.25,8772.25,8773.9,0
256265,NIFTY 50,2015-04-13 10:26:00 UTC,8773.55,8774.85,8773.05,8773.65,0
256265,NIFTY 50,2015-04-13 10:27:00 UTC,8773.75,8774.85,8768.3,8770.2,0
256265,NIFTY 50,2015-04-13 10:28:00 UTC,8770.45,8773.8,8770.1,8772.75,0
256265,NIFTY 50,2015-04-13 10:29:00 UTC,8772.7,8775.3,8772.7,8775.15,0
256265,NIFTY 50,2015-04-13 10:30:00 UTC,8775.3,8777,8774.65,8776.4,0
256265,NIFTY 50,2015-04-13 10:31:00 UTC,8776.75,8778.65,8776.25,8778.5,0
256265,NIFTY 50,2015-04-13 10:32:00 UTC,8778.95,8780.05,8776.8,8779.7,0
256265,NIFTY 50,2015-04-13 10:33:00 UTC,8780.1,8780.15,8776.7,8777.7,0
256265,NIFTY 50,2015-04-13 10:34:00 UTC,8777.6,8780.2,8777.45,8780.2,0
256265,NIFTY 50,2015-04-13 10:35:00 UTC,8781,8783.05,8779.6,8781.9,0
256265,NIFTY 50,2015-04-13 10:36:00 UTC,8781.85,8782.45,8777.95,8778.6,0
256265,NIFTY 50,2015-04-13 10:37:00 UTC,8778.85,8781.05,8778.3,8779,0
256265,NIFTY 50,2015-04-13 10:38:00 UTC,8779.2,8782.65,8778.85,8782.45,0
256265,NIFTY 50,2015-04-13 10:39:00 UTC,8782.75,8783.4,8778.8,8779.35,0
256265,NIFTY 50,2015-04-13 10:40:00 UTC,8779,8781.75,8778.4,8781.35,0
256265,NIFTY 50,2015-04-13 10:41:00 UTC,8781.3,8782.35,8779,8779,0
256265,NIFTY 50,2015-04-13 10:42:00 UTC,8779.25,8781.6,8779.25,8781.6,0
256265,NIFTY 50,2015-04-13 10:43:00 UTC,8781.65,8783.2,8781.45,8782.35,0
256265,NIFTY 50,2015-04-13 10:44:00 UTC,8782.1,8783.4,8779.55,8780.1,0
256265,NIFTY 50,2015-04-13 10:45:00 UTC,8780.3,8781.4,8779.85,8780.2,0
256265,NIFTY 50,2015-04-13 10:46:00 UTC,8780.75,8782.7,8780.4,8782.6,0
256265,NIFTY 50,2015-04-13 10:47:00 UTC,8782.5,8782.95,8780.9,8781.45,0
256265,NIFTY 50,2015-04-13 10:48:00 UTC,8781.45,8783.65,8781.35,8783.45,0
256265,NIFTY 50,2015-04-13 10:49:00 UTC,8783.35,8784.05,8782.9,8783.4,0
256265,NIFTY 50,2015-04-13 10:50:00 UTC,8783.4,8783.75,8782.25,8783.25,0
256265,NIFTY 50,2015-04-13 10:51:00 UTC,8783.05,8784,8782.5,8783.55,0
256265,NIFTY 50,2015-04-13 10:52:00 UTC,8783.4,8784.35,8781.55,8781.85,0
256265,NIFTY 50,2015-04-13 10:53:00 UTC,8781.45,8781.75,8779.4,8779.45,0
256265,NIFTY 50,2015-04-13 10:54:00 UTC,8779.15,8779.85,8776.2,8776.55,0
256265,NIFTY 50,2015-04-13 10:55:00 UTC,8776.6,8777.55,8772.9,8776.15,0
256265,NIFTY 50,2015-04-13 10:56:00 UTC,8776.15,8777.6,8775.35,8777.5,0
256265,NIFTY 50,2015-04-13 10:57:00 UTC,8777.15,8779.65,8777.1,8778,0
256265,NIFTY 50,2015-04-13 10:58:00 UTC,8778.3,8779.55,8776.3,8778.75,0
256265,NIFTY 50,2015-04-13 10:59:00 UTC,8778.9,8780.1,8778.4,8779.65,0
256265,NIFTY 50,2015-04-13 11:00:00 UTC,8779.45,8780.65,8779.3,8779.75,0
256265,NIFTY 50,2015-04-13 11:01:00 UTC,8780.2,8781.05,8778.75,8778.75,0
256265,NIFTY 50,2015-04-13 11:02:00 UTC,8778.85,8780.75,8778,8779,0
