,symbol,time,open,high,low,close
20,NIFTY BANK,2015-04-13 09:35:00 UTC,18797.75,18807.2,18796.4,18800.25
21,NIFTY BANK,2015-04-13 09:36:00 UTC,18800.25,18801.6,18791.65,18797.45
22,NIFTY BANK,2015-04-13 09:37:00 UTC,18797.45,18802,18785.2,18785.2
23,NIFTY BANK,2015-04-13 09:38:00 UTC,18782.05,18785.6,18775.25,18777.05
24,NIFTY BANK,2015-04-13 09:39:00 UTC,18777.05,18789.1,18774.4,18783
25,NIFTY BANK,2015-04-13 09:40:00 UTC,18783,18790,18779.2,18782.95
26,NIFTY BANK,2015-04-13 09:41:00 UTC,18782.25,18782.25,18774.7,18774.7
27,NIFTY BANK,2015-04-13 09:42:00 UTC,18774.7,18790.95,18773.05,18790.95
28,NIFTY BANK,2015-04-13 09:43:00 UTC,18790.95,18795.35,18788.3,18791.3
29,NIFTY BANK,2015-04-13 09:44:00 UTC,18791.95,18794.9,18776.85,18776.85
30,NIFTY BANK,2015-04-13 09:45:00 UTC,18776.85,18781.8,18773.35,18779.1
31,NIFTY BANK,2015-04-13 09:46:00 UTC,18779.1,18779.65,18770.1,18777.6
32,NIFTY BANK,2015-04-13 09:47:00 UTC,18777.6,18789.35,18777.6,18780.9
33,NIFTY BANK,2015-04-13 09:48:00 UTC,18780.9,18783.6,18778.5,18778.9
34,NIFTY BANK,2015-04-13 09:49:00 UTC,18778.9,18781.95,18770.35,18771
35,NIFTY BANK,2015-04-13 09:50:00 UTC,18771.4,18776.9,18767.75,18767.75
36,NIFTY BANK,2015-04-13 09:51:00 UTC,18772.4,18772.4,18764.9,18770
37,NIFTY BANK,2015-04-13 09:52:00 UTC,18770,18776.4,18767.95,18776.4
38,NIFTY BANK,2015-04-13 09:53:00 UTC,18776.4,18776.4,18765.35,18767.15
39,NIFTY BANK,2015-04-13 09:54:00 UTC,18767.15,18767.15,18751.35,18764.15
40,NIFTY BANK,2015-04-13 09:55:00 UTC,18764.15,18768.25,18763.1,18768.25
